Case_ID,Scope,Method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Q_Without_M2,Q_With_M2,F_Stable_B1,F_Stable_B1_PValue,F_Stable_D8,F_Stable_D8_PValue,F_Moving_D8,F_Moving_D8_PValue,Kruskal_Wallis_Chi,Kruskal_Wallis_PValue,Accept_Status
FPF03,REG_ISAN5,X13,2.8650000000,1.5690000000,1.2140000000,0.2510000000,3.0000000000,0.3980000000,1.0310000000,1.3320000000,0.8100000000,1.4230000000,1.3590000000,1.4000000000,,6.4550000000,0.0000000000,7.0930000000,0.0000000000,2.6940000000,0.0039000000,66.9520000000,0.0000000000,REJECTED
TPF02,REG_ISAN5,X13,3.0000000000,3.0000000000,2.1950000000,0.1760000000,3.0000000000,0.7970000000,3.0000000000,1.5350000000,1.0660000000,1.5280000000,1.2100000000,2.1500000000,,0.6520000000,0.7808000000,0.6750000000,0.7601000000,3.4450000000,0.0003000000,9.1880000000,0.6045000000,REJECTED
TUF01,REG_ISAN5,X13,3.0000000000,3.0000000000,3.0000000000,0.5020000000,3.0000000000,0.9030000000,2.0240000000,2.3920000000,0.8170000000,2.5490000000,2.1660000000,2.0700000000,,2.2150000000,0.0173000000,1.7180000000,0.0752000000,2.3610000000,0.0112000000,19.3990000000,0.0543000000,REJECTED
TUF02,REG_ISAN5,X13,3.0000000000,2.4580000000,1.1310000000,2.1350000000,3.0000000000,0.0060000000,2.7650000000,2.5130000000,1.0860000000,2.8450000000,1.9080000000,2.0800000000,,1.3900000000,0.1853000000,1.1120000000,0.3560000000,6.3420000000,0.0000000000,11.8710000000,0.3734000000,REJECTED
NPF01,REG_ISAN5,X13,3.0000000000,0.7600000000,1.0130000000,0.6280000000,1.1540000000,0.0750000000,2.6060000000,2.4250000000,0.7030000000,3.0000000000,2.3410000000,1.6700000000,,1.1010000000,0.3659000000,1.5280000000,0.1280000000,7.4590000000,0.0000000000,17.9070000000,0.0838000000,REJECTED
FPF05,REG_ISAN5,X13,3.0000000000,2.5730000000,1.6900000000,0.5530000000,3.0000000000,0.0030000000,2.2070000000,1.5040000000,1.3000000000,0.9100000000,0.8430000000,1.6900000000,,2.5900000000,0.0053000000,3.1020000000,0.0009000000,7.7400000000,0.0000000000,32.9110000000,0.0005000000,REJECTED
FPF08,REG_ISAN5,X13,0.7340000000,0.4240000000,0.5010000000,1.2310000000,3.0000000000,0.4960000000,1.2350000000,1.3690000000,0.7480000000,2.0660000000,1.4890000000,1.3500000000,,6.4280000000,0.0000000000,8.4870000000,0.0000000000,6.2960000000,0.0000000000,60.8340000000,0.0000000000,REJECTED
FPF09,REG_ISAN5,X13,1.8500000000,1.5250000000,1.6370000000,0.1000000000,3.0000000000,0.5670000000,0.5580000000,0.7660000000,0.4750000000,0.8220000000,0.8170000000,1.1200000000,,22.6580000000,0.0000000000,20.2230000000,0.0000000000,1.8710000000,0.0496000000,91.1130000000,0.0000000000,CONDITIONALLY REJECTED
NP061,REG_ISAN5,X13,2.8270000000,1.5460000000,0.8030000000,0.1000000000,1.0830000000,0.5630000000,1.4100000000,1.5590000000,1.0730000000,1.3840000000,1.2650000000,1.2300000000,,2.5930000000,0.0052000000,3.4940000000,0.0002000000,2.2990000000,0.0136000000,40.1040000000,0.0000000000,REJECTED
FP510,REG_ISAN5,STL_FALLBACK,,,,,,,,,,,,,,,,,,,,,,
FP607,REG_ISAN5,X13,1.0510000000,0.7550000000,0.9140000000,0.7790000000,0.9370000000,0.3000000000,0.4150000000,0.7720000000,0.6180000000,0.7610000000,0.7520000000,0.7000000000,,22.0440000000,0.0000000000,30.6090000000,0.0000000000,1.1790000000,0.3087000000,98.0370000000,0.0000000000,ACCEPTED
