Case_ID,Scope,Execution_Status,Diagnostic_Status,Quality_Status,Geo_Support_N,Geo_Support_Total,Coverage_Status,MA3_Endpoint_Provisional
TUF01,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TUF02,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NPF01,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF05,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF08,TH-31,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FPF09,TH-31,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
NP061,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP510,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP607,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NP081,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP511,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP512,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TP129,TH-31,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP014,TH-34,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP019,TH-34,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP038,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU014,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU015,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU018,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TU068,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP109,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP118,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP301,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP306,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP317,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP321,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP331,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU064,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU078,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF03,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TPF02,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TUF01,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TUF02,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NPF01,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF05,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF08,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF09,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NP061,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP510,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP607,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NP081,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP511,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP512,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TP129,TH-34,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP014,TH-40,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP019,TH-40,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP038,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU014,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU015,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU018,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TU068,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP109,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP118,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP301,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP306,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP317,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP321,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP331,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU064,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU078,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF03,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TPF02,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TUF01,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TUF02,TH-40,FALLBACK,NOT_AVAILABLE,REVIEW,1,1,FULL,TRUE
NPF01,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF05,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF08,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF09,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NP061,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP510,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP607,TH-40,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
NP081,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP511,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP512,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TP129,TH-40,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP014,TH-41,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP019,TH-41,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP038,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU014,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU015,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU018,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TU068,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
